import time: self [us] | cumulative | imported package
import time:      3509 |       7313 |                                       django.template.backends.django
import time:      6620 |      13932 |                                     django.template.autoreload
import time:      7636 |     236509 |                                   django.template
import time:      2182 |     238691 |                                 django.template.backends
import time:      1050 |     239740 |                               django.template.backends.django
import time:      1697 |       1697 |                               django.template.loader
import time:      4147 |     245583 |                             django.forms.renderers
import time:      3576 |     249158 |                           django.forms.utils
import time:      1868 |       1868 |                             graphlib
import time:      1447 |       1447 |                               django.templatetags
import time:      2268 |       3715 |                             django.templatetags.static
import time:      1426 |       1426 |                             django.utils.choices
import time:      9500 |      16507 |                           django.forms.widgets
import time:      5582 |     271246 |                         django.forms.boundfield
import time:      1231 |       1231 |                           django.utils.dateparse
import time:       919 |        919 |                           django.utils.duration
import time:      8902 |      11052 |                         django.forms.fields
import time:      1461 |       1461 |                         django.forms.forms
import time:      1909 |       1909 |                         django.forms.formsets
import time:      9077 |       9077 |                         django.forms.models
import time:      5885 |     300627 |                       django.forms
import time:      1742 |       1742 |                       django.db.models.constants
import time:      1184 |       1184 |                         django.db.transaction
import time:      3361 |       3361 |                         django.utils.tree
import time:      3514 |       8058 |                       django.db.models.query_utils
import time:     13909 |     324335 |                     django.db.models.fields
import time:      2129 |       2129 |                     django.db.models.enums
import time:     22897 |     365562 |                   django.db.models.expressions
import time:      1726 |       1726 |                     django.db.models.functions.comparison
import time:      5913 |       5913 |                             django.db.backends
import time:      2516 |       8428 |                           django.db.backends.base
import time:      1700 |       1700 |                               sqlparse.tokens
import time:      1826 |       1826 |                               sqlparse.utils
import time:      5858 |       9383 |                             sqlparse.sql
import time:      1321 |       1321 |                               sqlparse.exceptions
import time:      2392 |       3713 |                             sqlparse.cli
import time:      2171 |       2171 |                               sqlparse.engine.grouping
import time:      9295 |       9295 |                                   sqlparse.keywords
import time:      3380 |      12674 |                                 sqlparse.lexer
import time:      1898 |       1898 |                                 sqlparse.engine.statement_splitter
import time:      4842 |       4842 |                                   sqlparse.filters.others
import time:      1492 |       1492 |                                   sqlparse.filters.output
import time:      1212 |       1212 |                                   sqlparse.filters.tokens
import time:      1238 |       1238 |                                   sqlparse.filters.reindent
import time:      1039 |       1039 |                                   sqlparse.filters.right_margin
import time:      1081 |       1081 |                                   sqlparse.filters.aligned_indent
import time:      7078 |      17979 |                                 sqlparse.filters
import time:      4595 |      37144 |                               sqlparse.engine.filter_stack
import time:      3472 |      42786 |                             sqlparse.engine
import time:      6625 |       6625 |                             sqlparse.formatter
import time:      5274 |      67779 |                           sqlparse
import time:      3287 |      79494 |                         django.db.backends.base.operations
import time:      5090 |      84583 |                       django.db.models.lookups
import time:      5741 |      90323 |                     django.db.models.functions.datetime
import time:      9233 |       9233 |                         django.db.models.fields.mixins
import time:      7225 |      16457 |                       django.db.models.fields.json
import time:      3618 |      20075 |                     django.db.models.functions.json
import time:      1323 |       1323 |                       django.db.models.functions.mixins
import time:      9756 |      11078 |                     django.db.models.functions.math
import time:     28111 |      28111 |                     django.db.models.functions.text
import time:      2744 |       2744 |                     django.db.models.functions.window
import time:     53131 |     207184 |                   django.db.models.functions
import time:     12319 |     585065 |                 django.db.models.aggregates
import time:     12250 |      12250 |                     django.db.backends.utils
import time:     10771 |      10771 |                         django.db.models.sql.constants
import time:      4470 |       4470 |                         django.db.models.sql.datastructures
import time:      2240 |       2240 |                         django.db.models.sql.where
import time:     18042 |      35520 |                       django.db.models.sql.query
import time:    120819 |     120819 |                       django.db.models.sql.subqueries
import time:     18852 |     175191 |                     django.db.models.sql
import time:      5156 |     192596 |                   django.db.models.indexes
import time:      7374 |     199970 |                 django.db.models.constraints
import time:      3483 |       3483 |                 django.db.models.deletion
import time:      1842 |       1842 |                   django.db.models.fields.tuple_lookups
import time:      3302 |       5143 |                 django.db.models.fields.composite
import time:      2217 |       2217 |                   django.core.files.images
import time:      1380 |       1380 |                     django.core.files.storage.base
